  4.290pH         23.3øC 27-12-2003 14:43:27
  4.375pH         24.7øC 27-12-2003 22:04:27
  4.375pH         24.7øC 27-12-2003 22:04:57
  4.375pH         24.7øC 27-12-2003 22:05:27
  4.375pH         24.7øC 27-12-2003 22:05:57
  4.375pH         24.7øC 27-12-2003 22:06:27
  4.375pH         24.7øC 27-12-2003 22:06:57
  4.375pH         24.7øC 27-12-2003 22:07:27
  4.375pH         24.7øC 27-12-2003 22:07:57
  4.375pH         24.7øC 27-12-2003 22:08:27
  4.375pH         24.7øC 27-12-2003 22:08:57
  4.375pH         24.7øC 27-12-2003 22:09:27
  4.375pH         24.7øC 27-12-2003 22:09:57
  4.375pH         24.7øC 27-12-2003 22:10:27
  4.375pH         24.7øC 27-12-2003 22:10:57
  4.375pH         24.7øC 27-12-2003 22:11:27
  4.375pH         24.7øC 27-12-2003 22:11:57
  4.375pH         24.7øC 27-12-2003 22:12:27
  4.376pH         24.7øC 27-12-2003 22:12:57
  4.375pH         24.7øC 27-12-2003 22:13:27
  4.376pH         24.7øC 27-12-2003 22:13:57
  4.375pH         24.7øC 27-12-2003 22:14:27
  4.376pH         24.7øC 27-12-2003 22:14:57
  4.376pH         24.7øC 27-12-2003 22:15:27
  4.376pH         24.7øC 27-12-2003 22:15:57
  4.376pH         24.7øC 27-12-2003 22:16:27
  4.376pH         24.7øC 27-12-2003 22:16:57
  4.376pH         24.7øC 27-12-2003 22:17:27
  4.376pH         24.7øC 27-12-2003 22:17:57
  4.375pH         24.7øC 27-12-2003 22:18:27
  4.376pH         24.7øC 27-12-2003 22:18:57
  4.375pH         24.7øC 27-12-2003 22:19:27
  4.376pH         24.7øC 27-12-2003 22:19:57
  4.376pH         24.7øC 27-12-2003 22:20:27
  4.376pH         24.7øC 27-12-2003 22:20:57
  4.376pH         24.7øC 27-12-2003 22:21:27
  4.376pH         24.7øC 27-12-2003 22:21:57
  4.376pH         24.7øC 27-12-2003 22:22:27
  4.376pH         24.7øC 27-12-2003 22:22:57
  4.376pH         24.7øC 27-12-2003 22:23:27
  4.376pH         24.7øC 27-12-2003 22:23:57
  4.376pH         24.7øC 27-12-2003 22:24:27
  4.376pH         24.7øC 27-12-2003 22:24:57
  4.376pH         24.7øC 27-12-2003 22:25:27
  4.376pH         24.7øC 27-12-2003 22:25:57
  4.376pH         24.7øC 27-12-2003 22:26:27
  4.376pH         24.7øC 27-12-2003 22:26:57
  4.376pH         24.7øC 27-12-2003 22:27:27
  4.377pH         24.7øC 27-12-2003 22:27:57
  4.377pH         24.7øC 27-12-2003 22:28:27
  4.377pH         24.7øC 27-12-2003 22:28:57
  4.377pH         24.8øC 27-12-2003 22:29:27
  4.377pH         24.8øC 27-12-2003 22:29:57
  4.377pH         24.8øC 27-12-2003 22:30:27
  4.377pH         24.8øC 27-12-2003 22:30:57
  4.377pH         24.8øC 27-12-2003 22:31:27
  4.377pH         24.8øC 27-12-2003 22:31:57
  4.377pH         24.8øC 27-12-2003 22:32:27
  4.377pH         24.8øC 27-12-2003 22:32:57
  4.377pH         24.8øC 27-12-2003 22:33:27
  4.377pH         24.8øC 27-12-2003 22:33:57
  4.377pH         24.8øC 27-12-2003 22:34:27
  4.377pH         24.8øC 27-12-2003 22:34:57
  4.377pH         24.8øC 27-12-2003 22:35:27
  4.377pH         24.8øC 27-12-2003 22:35:57
  4.377pH         24.8øC 27-12-2003 22:36:27
  4.377pH         24.8øC 27-12-2003 22:36:57
  4.377pH         24.8øC 27-12-2003 22:37:27
  4.377pH         24.8øC 27-12-2003 22:37:57
  4.377pH         24.8øC 27-12-2003 22:38:27
  4.377pH         24.8øC 27-12-2003 22:38:57
  4.378pH         24.8øC 27-12-2003 22:39:27
  4.378pH         24.8øC 27-12-2003 22:39:57
  4.377pH         24.8øC 27-12-2003 22:40:27
  4.378pH         24.8øC 27-12-2003 22:40:57
  4.378pH         24.8øC 27-12-2003 22:41:27
  4.378pH         24.8øC 27-12-2003 22:41:57
  4.378pH         24.8øC 27-12-2003 22:42:27
  4.378pH         24.8øC 27-12-2003 22:42:57
  4.378pH         24.8øC 27-12-2003 22:43:27
  4.377pH         24.8øC 27-12-2003 22:43:57
  4.377pH         24.8øC 27-12-2003 22:44:27
  4.378pH         24.8øC 27-12-2003 22:44:57
  4.378pH         24.8øC 27-12-2003 22:45:27
  4.378pH         24.8øC 27-12-2003 22:45:57
  4.378pH         24.8øC 27-12-2003 22:46:27
  4.378pH         24.8øC 27-12-2003 22:46:57
  4.378pH         24.8øC 27-12-2003 22:47:27
  4.378pH         24.8øC 27-12-2003 22:47:57
  4.378pH         24.8øC 27-12-2003 22:48:27
  4.378pH         24.8øC 27-12-2003 22:48:57
  4.378pH         24.8øC 27-12-2003 22:49:27
  4.378pH         24.8øC 27-12-2003 22:49:57
  4.377pH         24.8øC 27-12-2003 22:50:27
  4.378pH         24.8øC 27-12-2003 22:50:57
  4.378pH         24.8øC 27-12-2003 22:51:27
  4.378pH         24.9øC 27-12-2003 22:51:57
  4.379pH         24.9øC 27-12-2003 22:52:27
  4.378pH         24.9øC 27-12-2003 22:52:57
  4.378pH         24.9øC 27-12-2003 22:53:27
  4.378pH         24.8øC 27-12-2003 22:53:57
  4.378pH         24.8øC 27-12-2003 22:54:27
  4.378pH         24.8øC 27-12-2003 22:54:57
  4.378pH         24.8øC 27-12-2003 22:55:27
  4.379pH         24.8øC 27-12-2003 22:55:57
  4.379pH         24.8øC 27-12-2003 22:56:27
  4.379pH         24.9øC 27-12-2003 22:56:57
  4.379pH         24.9øC 27-12-2003 22:57:27
  4.379pH         24.9øC 27-12-2003 22:57:57
  4.379pH         24.9øC 27-12-2003 22:58:27
  4.379pH         24.9øC 27-12-2003 22:58:57
  4.378pH         24.9øC 27-12-2003 22:59:27
  4.379pH         24.9øC 27-12-2003 22:59:57
  4.379pH         24.9øC 27-12-2003 23:00:27
  4.379pH         24.9øC 27-12-2003 23:00:57
  4.379pH         24.9øC 27-12-2003 23:01:27
  4.378pH         24.9øC 27-12-2003 23:01:57
  4.379pH         24.9øC 27-12-2003 23:02:27
  4.378pH         24.9øC 27-12-2003 23:02:57
  4.379pH         24.9øC 27-12-2003 23:03:27
  4.379pH         24.9øC 27-12-2003 23:03:57
  4.379pH         24.9øC 27-12-2003 23:04:27
  4.379pH         24.9øC 27-12-2003 23:04:57
  4.378pH         24.8øC 27-12-2003 23:05:27
  4.379pH         24.9øC 27-12-2003 23:05:57
  4.378pH         24.9øC 27-12-2003 23:06:27
  4.379pH         24.9øC 27-12-2003 23:06:57
  4.378pH         24.9øC 27-12-2003 23:07:27
  4.379pH         24.8øC 27-12-2003 23:07:57
  4.378pH         24.8øC 27-12-2003 23:08:27
  4.378pH         24.8øC 27-12-2003 23:08:57
  4.378pH         24.9øC 27-12-2003 23:09:27
  4.379pH         24.8øC 27-12-2003 23:09:57
  4.379pH         24.8øC 27-12-2003 23:10:27
  4.379pH         24.8øC 27-12-2003 23:10:57
  4.379pH         24.8øC 27-12-2003 23:11:27
  4.379pH         24.8øC 27-12-2003 23:11:57
  4.379pH         24.9øC 27-12-2003 23:12:27
  4.379pH         24.9øC 27-12-2003 23:12:57
  4.379pH         24.9øC 27-12-2003 23:13:27
  4.379pH         24.9øC 27-12-2003 23:13:57
  4.379pH         24.9øC 27-12-2003 23:14:27
  4.379pH         24.9øC 27-12-2003 23:14:57
  4.379pH         24.9øC 27-12-2003 23:15:27
  4.379pH         24.9øC 27-12-2003 23:15:57
  4.379pH         24.9øC 27-12-2003 23:16:27
  4.379pH         24.9øC 27-12-2003 23:16:57
  4.379pH         24.9øC 27-12-2003 23:17:27
  4.379pH         24.9øC 27-12-2003 23:17:57
  4.379pH         24.9øC 27-12-2003 23:18:27
  4.379pH         24.9øC 27-12-2003 23:18:57
  4.379pH         24.9øC 27-12-2003 23:19:27
  4.379pH         24.9øC 27-12-2003 23:19:57
  4.379pH         24.9øC 27-12-2003 23:20:27
  4.379pH         24.9øC 27-12-2003 23:20:57
  4.379pH         24.9øC 27-12-2003 23:21:27
  4.379pH         24.9øC 27-12-2003 23:21:57
  4.379pH         24.9øC 27-12-2003 23:22:27
  4.380pH         24.9øC 27-12-2003 23:22:57
  4.381pH         25.0øC 27-12-2003 23:23:27
  4.381pH         25.0øC 27-12-2003 23:23:57
  4.381pH         25.0øC 27-12-2003 23:24:27
  4.381pH         25.0øC 27-12-2003 23:24:57
  4.381pH         25.0øC 27-12-2003 23:25:27
  4.381pH         25.0øC 27-12-2003 23:25:57
  4.381pH         25.0øC 27-12-2003 23:26:27
  4.381pH         25.0øC 27-12-2003 23:26:57
  4.381pH         25.0øC 27-12-2003 23:27:27
  4.381pH         25.0øC 27-12-2003 23:27:57
  4.381pH         25.0øC 27-12-2003 23:28:27
  4.381pH         25.1øC 27-12-2003 23:28:57
  4.382pH         25.1øC 27-12-2003 23:29:27
  4.382pH         25.1øC 27-12-2003 23:29:57
  4.382pH         25.1øC 27-12-2003 23:30:27
  4.381pH         25.1øC 27-12-2003 23:30:57
  4.381pH         25.1øC 27-12-2003 23:31:27
  4.381pH         25.1øC 27-12-2003 23:31:57
  4.382pH         25.1øC 27-12-2003 23:32:27
  4.382pH         25.1øC 27-12-2003 23:32:57
  4.382pH         25.1øC 27-12-2003 23:33:27
  4.382pH         25.1øC 27-12-2003 23:33:57
  4.383pH         25.1øC 27-12-2003 23:34:27
  4.383pH         25.1øC 27-12-2003 23:34:57
  4.382pH         25.1øC 27-12-2003 23:35:27
  4.383pH         25.1øC 27-12-2003 23:35:57
  4.382pH         25.2øC 27-12-2003 23:36:27
  4.383pH         25.2øC 27-12-2003 23:36:57
  4.382pH         25.2øC 27-12-2003 23:37:27
  4.382pH         25.2øC 27-12-2003 23:37:57
  4.383pH         25.2øC 27-12-2003 23:38:27
  4.382pH         25.2øC 27-12-2003 23:38:57
  4.382pH         25.2øC 27-12-2003 23:39:27
  4.383pH         25.2øC 27-12-2003 23:39:57
  4.382pH         25.2øC 27-12-2003 23:40:27
  4.382pH         25.2øC 27-12-2003 23:40:57
  4.383pH         25.2øC 27-12-2003 23:41:27
  4.383pH         25.2øC 27-12-2003 23:41:57
  4.383pH         25.2øC 27-12-2003 23:42:27
  4.383pH         25.2øC 27-12-2003 23:42:57
  4.383pH         25.2øC 27-12-2003 23:43:27
  4.383pH         25.2øC 27-12-2003 23:43:57
  4.383pH         25.2øC 27-12-2003 23:44:27
  4.383pH         25.2øC 27-12-2003 23:44:57
  4.383pH         25.2øC 27-12-2003 23:45:27
  4.383pH         25.2øC 27-12-2003 23:45:57
  4.383pH         25.2øC 27-12-2003 23:46:27
  4.383pH         25.3øC 27-12-2003 23:46:57
  4.383pH         25.3øC 27-12-2003 23:47:27
  4.383pH         25.3øC 27-12-2003 23:47:57
  4.384pH         25.3øC 27-12-2003 23:48:27
  4.383pH         25.3øC 27-12-2003 23:48:57
  4.383pH         25.3øC 27-12-2003 23:49:27
  4.383pH         25.3øC 27-12-2003 23:49:57
  4.384pH         25.3øC 27-12-2003 23:50:27
  4.384pH         25.3øC 27-12-2003 23:50:57
  4.384pH         25.3øC 27-12-2003 23:51:27
  4.384pH         25.3øC 27-12-2003 23:51:57
  4.384pH         25.3øC 27-12-2003 23:52:27
  4.384pH         25.3øC 27-12-2003 23:52:57
  4.384pH         25.3øC 27-12-2003 23:53:27
  4.384pH         25.3øC 27-12-2003 23:53:57
  4.384pH         25.3øC 27-12-2003 23:54:27
  4.384pH         25.3øC 27-12-2003 23:54:57
  4.384pH         25.3øC 27-12-2003 23:55:27
  4.384pH         25.3øC 27-12-2003 23:55:57
  4.384pH         25.3øC 27-12-2003 23:56:27
  4.384pH         25.3øC 27-12-2003 23:56:57
  4.384pH         25.3øC 27-12-2003 23:57:27
  4.384pH         25.3øC 27-12-2003 23:57:57
  4.384pH         25.4øC 27-12-2003 23:58:27
  4.385pH         25.4øC 27-12-2003 23:58:57
  4.384pH         25.4øC 27-12-2003 23:59:27
  4.385pH         25.4øC 27-12-2003 23:59:57
  4.385pH         25.4øC 28-12-2003 00:00:27
  4.385pH         25.4øC 28-12-2003 00:00:57
  4.385pH         25.4øC 28-12-2003 00:01:27
  4.384pH         25.4øC 28-12-2003 00:01:57
  4.384pH         25.4øC 28-12-2003 00:02:27
  4.385pH         25.4øC 28-12-2003 00:02:57
  4.385pH         25.4øC 28-12-2003 00:03:27
  4.384pH         25.4øC 28-12-2003 00:03:57
  4.384pH         25.4øC 28-12-2003 00:04:27
  4.384pH         25.4øC 28-12-2003 00:04:57
  4.384pH         25.4øC 28-12-2003 00:05:27
  4.384pH         25.4øC 28-12-2003 00:05:57
  4.384pH         25.4øC 28-12-2003 00:06:27
  4.385pH         25.4øC 28-12-2003 00:06:57
  4.384pH         25.4øC 28-12-2003 00:07:27
  4.385pH         25.4øC 28-12-2003 00:07:57
  4.385pH         25.4øC 28-12-2003 00:08:27
  4.385pH         25.4øC 28-12-2003 00:08:57
  4.384pH         25.4øC 28-12-2003 00:09:27
  4.384pH         25.4øC 28-12-2003 00:09:57
  4.385pH         25.4øC 28-12-2003 00:10:27
  4.385pH         25.4øC 28-12-2003 00:10:57
  4.385pH         25.4øC 28-12-2003 00:11:27
  4.385pH         25.4øC 28-12-2003 00:11:57
  4.385pH         25.4øC 28-12-2003 00:12:27
  4.385pH         25.4øC 28-12-2003 00:12:57
  4.386pH         25.4øC 28-12-2003 00:13:27
  4.385pH         25.4øC 28-12-2003 00:13:57
  4.386pH         25.5øC 28-12-2003 00:14:27
  4.386pH         25.5øC 28-12-2003 00:14:57
  4.386pH         25.5øC 28-12-2003 00:15:27
  4.386pH         25.5øC 28-12-2003 00:15:57
  4.386pH         25.5øC 28-12-2003 00:16:27
  4.385pH         25.5øC 28-12-2003 00:16:57
  4.386pH         25.5øC 28-12-2003 00:17:27
  4.385pH         25.5øC 28-12-2003 00:17:57
  4.385pH         25.5øC 28-12-2003 00:18:27
  4.385pH         25.5øC 28-12-2003 00:18:57
  4.385pH         25.5øC 28-12-2003 00:19:27
  4.386pH         25.5øC 28-12-2003 00:19:57
  4.386pH         25.5øC 28-12-2003 00:20:27
  4.386pH         25.5øC 28-12-2003 00:20:57
  4.386pH         25.5øC 28-12-2003 00:21:27
  4.386pH         25.5øC 28-12-2003 00:21:57
  4.387pH         25.5øC 28-12-2003 00:22:27
  4.386pH         25.5øC 28-12-2003 00:22:57
  4.386pH         25.5øC 28-12-2003 00:23:27
  4.386pH         25.5øC 28-12-2003 00:23:57
  4.386pH         25.5øC 28-12-2003 00:24:27
  4.386pH         25.5øC 28-12-2003 00:24:57
  4.386pH         25.5øC 28-12-2003 00:25:27
  4.386pH         25.5øC 28-12-2003 00:25:57
  4.386pH         25.5øC 28-12-2003 00:26:27
  4.386pH         25.6øC 28-12-2003 00:26:57
  4.386pH         25.5øC 28-12-2003 00:27:27
  4.386pH         25.6øC 28-12-2003 00:27:57
  4.386pH         25.6øC 28-12-2003 00:28:27
  4.386pH         25.6øC 28-12-2003 00:28:57
  4.386pH         25.6øC 28-12-2003 00:29:27
  4.387pH         25.6øC 28-12-2003 00:29:57
  4.386pH         25.6øC 28-12-2003 00:30:27
  4.386pH         25.6øC 28-12-2003 00:30:57
  4.386pH         25.6øC 28-12-2003 00:31:27
  4.387pH         25.6øC 28-12-2003 00:31:57
  4.387pH         25.6øC 28-12-2003 00:32:27
  4.387pH         25.6øC 28-12-2003 00:32:57
  4.387pH         25.6øC 28-12-2003 00:33:27
  4.387pH         25.6øC 28-12-2003 00:33:57
  4.387pH         25.6øC 28-12-2003 00:34:27
  4.387pH         25.6øC 28-12-2003 00:34:57
  4.387pH         25.6øC 28-12-2003 00:35:27
  4.387pH         25.6øC 28-12-2003 00:35:57
  4.387pH         25.6øC 28-12-2003 00:36:27
  4.387pH         25.6øC 28-12-2003 00:36:57
  4.386pH         25.6øC 28-12-2003 00:37:27
  4.387pH         25.6øC 28-12-2003 00:37:57
  4.387pH         25.6øC 28-12-2003 00:38:27
  4.387pH         25.6øC 28-12-2003 00:38:57
  4.387pH         25.6øC 28-12-2003 00:39:27
  4.387pH         25.7øC 28-12-2003 00:39:57
  4.387pH         25.7øC 28-12-2003 00:40:27
  4.388pH         25.7øC 28-12-2003 00:40:57
  4.388pH         25.7øC 28-12-2003 00:41:27
  4.388pH         25.7øC 28-12-2003 00:41:57
  4.388pH         25.7øC 28-12-2003 00:42:27
  4.388pH         25.7øC 28-12-2003 00:42:57
  4.388pH         25.7øC 28-12-2003 00:43:27
  4.389pH         25.7øC 28-12-2003 00:43:57
  4.388pH         25.7øC 28-12-2003 00:44:27
  4.388pH         25.7øC 28-12-2003 00:44:57
  4.387pH         25.7øC 28-12-2003 00:45:27
  4.387pH         25.7øC 28-12-2003 00:45:57
  4.387pH         25.7øC 28-12-2003 00:46:27
  4.387pH         25.7øC 28-12-2003 00:46:57
  4.387pH         25.7øC 28-12-2003 00:47:27
  4.388pH         25.7øC 28-12-2003 00:47:57
  4.388pH         25.7øC 28-12-2003 00:48:27
  4.388pH         25.7øC 28-12-2003 00:48:57
  4.387pH         25.7øC 28-12-2003 00:49:27
  4.388pH         25.7øC 28-12-2003 00:49:57
  4.388pH         25.7øC 28-12-2003 00:50:27
  4.389pH         25.7øC 28-12-2003 00:50:57
  4.388pH         25.7øC 28-12-2003 00:51:27
  4.388pH         25.7øC 28-12-2003 00:51:57
  4.388pH         25.7øC 28-12-2003 00:52:27
  4.388pH         25.7øC 28-12-2003 00:52:57
  4.388pH         25.7øC 28-12-2003 00:53:27
  4.388pH         25.7øC 28-12-2003 00:53:57
  4.388pH         25.7øC 28-12-2003 00:54:27
  4.388pH         25.7øC 28-12-2003 00:54:57
  4.388pH         25.7øC 28-12-2003 00:55:27
  4.388pH         25.7øC 28-12-2003 00:55:57
  4.388pH         25.7øC 28-12-2003 00:56:27
  4.388pH         25.7øC 28-12-2003 00:56:57
  4.388pH         25.7øC 28-12-2003 00:57:27
  4.388pH         25.7øC 28-12-2003 00:57:57
  4.389pH         25.7øC 28-12-2003 00:58:27
  4.389pH         25.7øC 28-12-2003 00:58:57
  4.389pH         25.7øC 28-12-2003 00:59:27
  4.388pH         25.7øC 28-12-2003 00:59:57
  4.388pH         25.7øC 28-12-2003 01:00:27
  4.388pH         25.7øC 28-12-2003 01:00:57
  4.388pH         25.7øC 28-12-2003 01:01:27
  4.388pH         25.7øC 28-12-2003 01:01:57
  4.388pH         25.8øC 28-12-2003 01:02:27
  4.389pH         25.8øC 28-12-2003 01:02:57
  4.389pH         25.8øC 28-12-2003 01:03:27
  4.388pH         25.8øC 28-12-2003 01:03:57
  4.389pH         25.8øC 28-12-2003 01:04:27
  4.389pH         25.8øC 28-12-2003 01:04:57
  4.389pH         25.8øC 28-12-2003 01:05:27
  4.389pH         25.8øC 28-12-2003 01:05:57
  4.389pH         25.8øC 28-12-2003 01:06:27
  4.389pH         25.8øC 28-12-2003 01:06:57
  4.389pH         25.8øC 28-12-2003 01:07:27
  4.389pH         25.8øC 28-12-2003 01:07:57
  4.389pH         25.8øC 28-12-2003 01:08:27
  4.389pH         25.8øC 28-12-2003 01:08:57
  4.389pH         25.8øC 28-12-2003 01:09:27
  4.389pH         25.8øC 28-12-2003 01:09:57
  4.389pH         25.8øC 28-12-2003 01:10:27
  4.389pH         25.8øC 28-12-2003 01:10:57
  4.389pH         25.8øC 28-12-2003 01:11:27
  4.389pH         25.8øC 28-12-2003 01:11:57
  4.389pH         25.8øC 28-12-2003 01:12:27
  4.389pH         25.8øC 28-12-2003 01:12:57
  4.389pH         25.8øC 28-12-2003 01:13:27
  4.389pH         25.8øC 28-12-2003 01:13:57
  4.389pH         25.8øC 28-12-2003 01:14:27
  4.389pH         25.8øC 28-12-2003 01:14:57
  4.389pH         25.8øC 28-12-2003 01:15:27
  4.389pH         25.8øC 28-12-2003 01:15:57
  4.389pH         25.8øC 28-12-2003 01:16:27
  4.389pH         25.8øC 28-12-2003 01:16:57
  4.389pH         25.8øC 28-12-2003 01:17:27
  4.389pH         25.8øC 28-12-2003 01:17:57
  4.389pH         25.8øC 28-12-2003 01:18:27
  4.389pH         25.8øC 28-12-2003 01:18:57
  4.389pH         25.8øC 28-12-2003 01:19:27
  4.389pH         25.8øC 28-12-2003 01:19:57
  4.389pH         25.8øC 28-12-2003 01:20:27
  4.389pH         25.8øC 28-12-2003 01:20:57
  4.389pH         25.8øC 28-12-2003 01:21:27
  4.389pH         25.8øC 28-12-2003 01:21:57
  4.389pH         25.8øC 28-12-2003 01:22:27
  4.389pH         25.8øC 28-12-2003 01:22:57
  4.389pH         25.8øC 28-12-2003 01:23:27
  4.389pH         25.8øC 28-12-2003 01:23:57
  4.389pH         25.8øC 28-12-2003 01:24:27
  4.389pH         25.8øC 28-12-2003 01:24:57
  4.389pH         25.8øC 28-12-2003 01:25:27
  4.389pH         25.8øC 28-12-2003 01:25:57
  4.389pH         25.8øC 28-12-2003 01:26:27
  4.389pH         25.8øC 28-12-2003 01:26:57
  4.389pH         25.8øC 28-12-2003 01:27:27
  4.389pH         25.8øC 28-12-2003 01:27:57
  4.389pH         25.8øC 28-12-2003 01:28:27
  4.389pH         25.8øC 28-12-2003 01:28:57
  4.389pH         25.8øC 28-12-2003 01:29:27
  4.389pH         25.8øC 28-12-2003 01:29:57
  4.389pH         25.8øC 28-12-2003 01:30:27
  4.389pH         25.8øC 28-12-2003 01:30:57
  4.389pH         25.8øC 28-12-2003 01:31:27
  4.389pH         25.8øC 28-12-2003 01:31:57
  4.390pH         25.8øC 28-12-2003 01:32:27
  4.389pH         25.8øC 28-12-2003 01:32:57
  4.389pH         25.8øC 28-12-2003 01:33:27
  4.389pH         25.8øC 28-12-2003 01:33:57
  4.389pH         25.8øC 28-12-2003 01:34:27
  4.390pH         25.8øC 28-12-2003 01:34:57
  4.390pH         25.8øC 28-12-2003 01:35:27
  4.390pH         25.8øC 28-12-2003 01:35:57
  4.389pH         25.8øC 28-12-2003 01:36:27
  4.389pH         25.8øC 28-12-2003 01:36:57
  4.389pH         25.7øC 28-12-2003 01:37:27
  4.389pH         25.8øC 28-12-2003 01:37:57
  4.389pH         25.8øC 28-12-2003 01:38:27
  4.389pH         25.8øC 28-12-2003 01:38:57
  4.389pH         25.8øC 28-12-2003 01:39:27
  4.389pH         25.7øC 28-12-2003 01:39:57
  4.389pH         25.7øC 28-12-2003 01:40:27
  4.389pH         25.7øC 28-12-2003 01:40:57
  4.389pH         25.7øC 28-12-2003 01:41:27
  4.389pH         25.7øC 28-12-2003 01:41:57
  4.389pH         25.7øC 28-12-2003 01:42:27
  4.389pH         25.7øC 28-12-2003 01:42:57
  4.389pH         25.7øC 28-12-2003 01:43:27
  4.389pH         25.7øC 28-12-2003 01:43:57
  4.389pH         25.7øC 28-12-2003 01:44:27
  4.390pH         25.7øC 28-12-2003 01:44:57
  4.389pH         25.7øC 28-12-2003 01:45:27
  4.389pH         25.7øC 28-12-2003 01:45:57
  4.389pH         25.7øC 28-12-2003 01:46:27
  4.390pH         25.7øC 28-12-2003 01:46:57
  4.390pH         25.7øC 28-12-2003 01:47:27
  4.390pH         25.7øC 28-12-2003 01:47:57
  4.390pH         25.7øC 28-12-2003 01:48:27
  4.390pH         25.7øC 28-12-2003 01:48:57
  4.389pH         25.7øC 28-12-2003 01:49:27
  4.390pH         25.7øC 28-12-2003 01:49:57
  4.390pH         25.7øC 28-12-2003 01:50:27
  4.390pH         25.7øC 28-12-2003 01:50:57
  4.390pH         25.7øC 28-12-2003 01:51:27
  4.390pH         25.7øC 28-12-2003 01:51:57
  4.390pH         25.7øC 28-12-2003 01:52:27
  4.390pH         25.7øC 28-12-2003 01:52:57
  4.390pH         25.7øC 28-12-2003 01:53:27
  4.390pH         25.7øC 28-12-2003 01:53:57
  4.390pH         25.7øC 28-12-2003 01:54:27
  4.390pH         25.7øC 28-12-2003 01:54:57
  4.390pH         25.7øC 28-12-2003 01:55:27
  4.390pH         25.7øC 28-12-2003 01:55:57
  4.390pH         25.7øC 28-12-2003 01:56:27
  4.390pH         25.7øC 28-12-2003 01:56:57
  4.390pH         25.7øC 28-12-2003 01:57:27
  4.390pH         25.7øC 28-12-2003 01:57:57
  4.390pH         25.7øC 28-12-2003 01:58:27
  4.391pH         25.7øC 28-12-2003 01:58:57
  4.390pH         25.7øC 28-12-2003 01:59:27
  4.390pH         25.7øC 28-12-2003 01:59:57
  4.390pH         25.7øC 28-12-2003 02:00:27
  4.390pH         25.7øC 28-12-2003 02:00:57
  4.390pH         25.7øC 28-12-2003 02:01:27
  4.390pH         25.7øC 28-12-2003 02:01:57
  4.390pH         25.7øC 28-12-2003 02:02:27
  4.389pH         25.7øC 28-12-2003 02:02:57
  4.390pH         25.7øC 28-12-2003 02:03:27
  4.390pH         25.7øC 28-12-2003 02:03:57
  4.390pH         25.7øC 28-12-2003 02:04:27
  4.390pH         25.7øC 28-12-2003 02:04:57
  4.390pH         25.7øC 28-12-2003 02:05:27
  4.391pH         25.7øC 28-12-2003 02:05:57
  4.390pH         25.6øC 28-12-2003 02:06:27
  4.390pH         25.6øC 28-12-2003 02:06:57
  4.390pH         25.6øC 28-12-2003 02:07:27
  4.390pH         25.6øC 28-12-2003 02:07:57
  4.390pH         25.6øC 28-12-2003 02:08:27
  4.390pH         25.6øC 28-12-2003 02:08:57
  4.390pH         25.6øC 28-12-2003 02:09:27
  4.390pH         25.6øC 28-12-2003 02:09:57
  4.391pH         25.6øC 28-12-2003 02:10:27
  4.390pH         25.6øC 28-12-2003 02:10:57
  4.391pH         25.6øC 28-12-2003 02:11:27
  4.391pH         25.6øC 28-12-2003 02:11:57
  4.391pH         25.6øC 28-12-2003 02:12:27
  4.391pH         25.6øC 28-12-2003 02:12:57
  4.391pH         25.6øC 28-12-2003 02:13:27
  4.391pH         25.6øC 28-12-2003 02:13:57
  4.391pH         25.6øC 28-12-2003 02:14:27
  4.391pH         25.6øC 28-12-2003 02:14:57
  4.391pH         25.6øC 28-12-2003 02:15:27
  4.391pH         25.6øC 28-12-2003 02:15:57
  4.391pH         25.6øC 28-12-2003 02:16:27
  4.391pH         25.6øC 28-12-2003 02:16:57
  4.391pH         25.6øC 28-12-2003 02:17:27
  4.391pH         25.6øC 28-12-2003 02:17:57
  4.391pH         25.6øC 28-12-2003 02:18:27
  4.391pH         25.6øC 28-12-2003 02:18:57
  4.391pH         25.6øC 28-12-2003 02:19:27
  4.391pH         25.6øC 28-12-2003 02:19:57
  4.391pH         25.6øC 28-12-2003 02:20:27
  4.391pH         25.6øC 28-12-2003 02:20:57
  4.391pH         25.6øC 28-12-2003 02:21:27
  4.391pH         25.6øC 28-12-2003 02:21:57
  4.391pH         25.6øC 28-12-2003 02:22:27
  4.391pH         25.6øC 28-12-2003 02:22:57
  4.391pH         25.6øC 28-12-2003 02:23:27
  4.390pH         25.6øC 28-12-2003 02:23:57
  4.390pH         25.6øC 28-12-2003 02:24:27
  4.391pH         25.6øC 28-12-2003 02:24:57
  4.391pH         25.6øC 28-12-2003 02:25:27
  4.391pH         25.6øC 28-12-2003 02:25:57
  4.391pH         25.6øC 28-12-2003 02:26:27
  4.391pH         25.6øC 28-12-2003 02:26:57
  4.391pH         25.6øC 28-12-2003 02:27:27
  4.391pH         25.6øC 28-12-2003 02:27:57
  4.391pH         25.6øC 28-12-2003 02:28:27
  4.391pH         25.6øC 28-12-2003 02:28:57
  4.391pH         25.6øC 28-12-2003 02:29:27
  4.391pH         25.6øC 28-12-2003 02:29:57
  4.391pH         25.6øC 28-12-2003 02:30:27
  4.391pH         25.6øC 28-12-2003 02:30:57
  4.391pH         25.6øC 28-12-2003 02:31:27
  4.391pH         25.6øC 28-12-2003 02:31:57
  4.391pH         25.6øC 28-12-2003 02:32:27
